"",,CIVIL ENGINEERING[Full Time]
"",Course Code,Course
MA202,,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND"
"",,NUMERICAL METHODS
CE202,,STRUCTURAL ANALYSIS I
CE204,,CONSTRUCTION TECHNOLOGY
CE206,,FLUID MECHANICS II
CE208,,GEOTECHNICAL ENGINEERING I
HS210,,LIFE SKILLS
CE232,,MATERIALS TESTING LAB I
CE234,,FLUID MECHANICS LAB
LTVE17EE139,"HS200(B+), MA202(C), EE202(B), EE204(P), EE206(B), EE208(B), EE232(A+), EE234(O)",
LTVE17EE140,"HS200(A), MA202(A), EE202(B+), EE204(B+), EE206(B), EE208(B+), EE232(A+), EE234(O)",
TVE15EE068,EE208(Absent),
TVE15EE103,"EE202(Absent), EE208(Absent)",
TVE15EE107,"EE202(F), EE204(F)",
TVE15EE108,"HS200(Absent), EE202(P), EE204(B), EE208(Absent)",
TVE16EE005,EE202(B),
TVE16EE017,EE204(C)
TVE16EE032,"EE204(F), EE208(F)"
TVE16EE033,"EE202(C), EE208(B)"
TVE16EE038,"EE202(F), EE208(B)"
TVE16EE041,"MA202(F), EE204(Absent)"
TVE16EE044,EE202(C)
TVE16EE052,HS200(B)
TVE16EE056,EE202(F)
TVE16EE069,"EE202(F), EE206(F), EE208(F)"
TVE16EE078,EE202(F)
TVE16EE083,EE208(B)
TVE16EE085,"HS200(Absent), EE202(Absent)"
TVE16EE092,"EE202(F), EE206(C)"
TVE17EE001,"HS200(O), MA202(O), EE202(A), EE204(B), EE206(B+), EE208(B+), EE232(O), EE234(A+)"
TVE17EE002,"HS200(B), MA202(B+), EE202(F), EE204(P), EE206(C), EE208(C), EE232(P), EE234(I)"
TVE17EE003,"HS200(B), MA202(C), EE202(F), EE204(C), EE206(F), EE208(C), EE232(A), EE234(B)"
TVE17EE004,"HS200(B+), MA202(A), EE202(B), EE204(B), EE206(C), EE208(P), EE232(C), EE234(B)"
TVE17EE005,"HS200(A), MA202(O), EE202(B+), EE204(B+), EE206(O), EE208(B+), EE232(A+), EE234(A+)"
TVE17EE006,"HS200(A+), MA202(O), EE202(B+), EE204(O), EE206(B+), EE208(B+), EE232(O), EE234(O)"
TVE17EE007,"HS200(B+), MA202(B+), EE202(C), EE204(B), EE206(B), EE208(B), EE232(B+), EE234(C)"
TVE17EE008,"HS200(A), MA202(O), EE202(B+), EE204(O), EE206(C), EE208(B+), EE232(A+), EE234(A)"
TVE17EE009,"HS200(O), MA202(O), EE202(B+), EE204(A), EE206(B), EE208(A+), EE232(O), EE234(O)"
TVE17EE010,"HS200(A+), MA202(A+), EE202(B), EE204(B+), EE206(B+), EE208(A), EE232(O), EE234(A)"
TVE17EE011,"HS200(A+), MA202(A+), EE202(B+), EE204(B+), EE206(B), EE208(A+), EE232(O), EE234(A+)"
TVE17EE012,"HS200(A), MA202(B), EE202(B), EE204(B), EE206(A), EE208(A), EE232(A), EE234(B+)"
TVE17EE013,"HS200(B+), MA202(F), EE202(B), EE204(B+), EE206(B+), EE208(A+), EE232(B+), EE234(B+)"
TVE17EE014,"HS200(P), MA202(C), EE202(F), EE204(C), EE206(F), EE208(F), EE232(B+), EE234(B+)"
TVE17EE015,"HS200(A+), MA202(B), EE202(C), EE204(B), EE206(B), EE208(B), EE232(A+), EE234(A+)"
TVE17EE016,"HS200(A), MA202(O), EE202(A), EE204(B+), EE206(A+), EE208(A+), EE232(A+), EE234(A)"
TVE17EE017,"HS200(B+), MA202(O), EE202(B+), EE204(B+), EE206(B+), EE208(A+), EE232(O), EE234(A+)"
TVE17EE018,"HS200(B+), MA202(A), EE202(B), EE204(B+), EE206(B+), EE208(B), EE232(A+), EE234(B+)"
TVE17EE019,"HS200(O), MA202(B+), EE202(B+), EE204(B+), EE206(B+), EE208(B+), EE232(O), EE234(O)"
TVE17EE020,"HS200(B+), MA202(B+), EE202(B), EE204(B), EE206(B+), EE208(A), EE232(A), EE234(O)"
TVE17EE021,"HS200(A), MA202(A+), EE202(A+), EE204(A+), EE206(B), EE208(A), EE232(O), EE234(A)"
TVE17EE022,"HS200(A), MA202(B+), EE202(B), EE204(B+), EE206(B+), EE208(A+), EE232(O), EE234(O)"
